,A bit,A lot,A smidgen,Considerable amount,Extreme amount,Fair amount,Good amount,High amount,Huge amount,Humongous amount,Large,Little,Low amount,Maximum amount,Medium,Moderate amount,Modest amount,None to very little,Quite a bit,Sizeable,Small,Some,Some to moderate,Somewhat small,Substantial amount,Teeny-weeny,Tiny,Very high amount,Very large,Very little,Very sizeable,Very small,
0.4,0.816327,0.149425,0.906977,0.15,0.108108,0.231884,0.172414,0.146667,0.121622,0.0833333,0.060241,0.822581,0.819277,0,0.0973451,0.146667,0.208333,0.733333,0.357143,0.227273,0.828947,0.418182,0.186813,0.522388,0.15625,0.785714,0.882353,0.0681818,0.117647,0.930556,0.173077,0.945946,
0.45,0.836735,0.149425,0.976744,0.166667,0.108108,0.231884,0.172414,0.146667,0.121622,0.0833333,0.060241,0.822581,0.843373,0,0.0973451,0.146667,0.208333,0.706667,0.357143,0.227273,0.828947,0.381818,0.186813,0.522388,0.15625,0.785714,0.838235,0.0681818,0.117647,0.902778,0.173077,0.932432,
0.5,0.857143,0.149425,0.930233,0.166667,0.121622,0.231884,0.172414,0.146667,0.121622,0.0833333,0.060241,0.919355,0.855422,0,0.0973451,0.146667,0.208333,0.64,0.357143,0.227273,0.842105,0.381818,0.186813,0.567164,0.15625,0.738095,0.808824,0.0681818,0.117647,0.916667,0.173077,0.891892,
0.55,0.857143,0.149425,0.813953,0.166667,0.121622,0.231884,0.172414,0.146667,0.121622,0.0833333,0.060241,0.935484,0.879518,0,0.0973451,0.146667,0.229167,0.573333,0.357143,0.227273,0.855263,0.381818,0.186813,0.58209,0.15625,0.666667,0.764706,0.0681818,0.117647,0.930556,0.173077,0.864865,
0.6,0.897959,0.149425,0.837209,0.183333,0.121622,0.231884,0.172414,0.146667,0.121622,0.0833333,0.060241,0.967742,0.86747,0,0.0973451,0.146667,0.229167,0.52,0.357143,0.25,0.894737,0.4,0.186813,0.597015,0.171875,0.595238,0.691176,0.0681818,0.117647,0.902778,0.173077,0.797297,
0.65,0.897959,0.149425,0.813953,0.183333,0.121622,0.231884,0.172414,0.146667,0.135135,0.0833333,0.060241,0.951613,0.879518,0.0128205,0.0973451,0.146667,0.25,0.52,0.357143,0.25,0.934211,0.4,0.186813,0.626866,0.171875,0.547619,0.691176,0.0795455,0.117647,0.847222,0.173077,0.810811,
0.7,0.897959,0.149425,0.744186,0.183333,0.121622,0.231884,0.172414,0.146667,0.135135,0.0833333,0.060241,0.951613,0.879518,0.0128205,0.0973451,0.146667,0.25,0.52,0.357143,0.25,0.947368,0.4,0.186813,0.656716,0.171875,0.5,0.676471,0.0795455,0.117647,0.819444,0.173077,0.810811,
0.75,0.897959,0.149425,0.767442,0.183333,0.121622,0.231884,0.172414,0.146667,0.135135,0.0833333,0.0722892,0.983871,0.86747,0.0128205,0.0973451,0.146667,0.270833,0.52,0.357143,0.25,0.960526,0.4,0.186813,0.671642,0.171875,0.5,0.661765,0.0795455,0.132353,0.805556,0.173077,0.797297,
0.8,0.938776,0.149425,0.744186,0.183333,0.121622,0.231884,0.172414,0.146667,0.135135,0.0833333,0.0722892,0.967742,0.86747,0.0128205,0.0973451,0.146667,0.270833,0.493333,0.357143,0.25,0.973684,0.4,0.186813,0.656716,0.171875,0.5,0.661765,0.0795455,0.132353,0.805556,0.192308,0.783784,
0.85,0.938776,0.149425,0.744186,0.183333,0.121622,0.231884,0.172414,0.146667,0.135135,0.1,0.0722892,1,0.903614,0.0128205,0.0973451,0.146667,0.291667,0.493333,0.357143,0.25,0.973684,0.4,0.197802,0.656716,0.171875,0.5,0.647059,0.0795455,0.132353,0.805556,0.192308,0.702703,
0.9,0.938776,0.149425,0.651163,0.183333,0.121622,0.231884,0.172414,0.146667,0.135135,0.1,0.0722892,0.967742,0.903614,0.0128205,0.0973451,0.146667,0.291667,0.48,0.357143,0.25,0.973684,0.436364,0.197802,0.656716,0.171875,0.5,0.632353,0.0795455,0.132353,0.763889,0.192308,0.662162,
0.95,0.918367,0.149425,0.651163,0.183333,0.121622,0.231884,0.172414,0.146667,0.135135,0.1,0.0722892,0.951613,0.927711,0.0128205,0.0973451,0.146667,0.291667,0.48,0.357143,0.272727,0.973684,0.454545,0.208791,0.656716,0.171875,0.47619,0.573529,0.0795455,0.132353,0.75,0.192308,0.621622,
1,1,0.16092,0.697674,0.2,0.108108,0.246377,0.172414,0.146667,0.121622,0.116667,0.0722892,0.967742,0.927711,0.0128205,0.0973451,0.16,0.3125,0.413333,0.357143,0.272727,0.947368,0.527273,0.241758,0.776119,0.1875,0.428571,0.514706,0.0795455,0.132353,0.722222,0.211538,0.554054,
1.05,0.979592,0.16092,0.604651,0.233333,0.108108,0.26087,0.155172,0.146667,0.121622,0.116667,0.0722892,0.951613,0.963855,0.0128205,0.0973451,0.173333,0.333333,0.36,0.357143,0.295455,0.934211,0.6,0.285714,0.895522,0.203125,0.428571,0.426471,0.0795455,0.147059,0.597222,0.25,0.486486,
1.1,0.918367,0.16092,0.604651,0.233333,0.108108,0.26087,0.155172,0.146667,0.121622,0.116667,0.0722892,0.951613,0.987952,0.0128205,0.0973451,0.173333,0.354167,0.346667,0.357143,0.295455,0.947368,0.618182,0.296703,0.910448,0.203125,0.380952,0.426471,0.0795455,0.147059,0.583333,0.25,0.5,
1.15,0.918367,0.16092,0.604651,0.233333,0.108108,0.26087,0.155172,0.146667,0.121622,0.116667,0.0722892,0.967742,1,0.0128205,0.0973451,0.173333,0.354167,0.346667,0.357143,0.295455,0.947368,0.618182,0.296703,0.910448,0.203125,0.380952,0.426471,0.0795455,0.147059,0.583333,0.230769,0.486486,
1.2,0.897959,0.16092,0.581395,0.233333,0.108108,0.26087,0.155172,0.146667,0.121622,0.116667,0.0722892,0.967742,0.987952,0.0128205,0.0973451,0.173333,0.354167,0.32,0.357143,0.295455,0.947368,0.618182,0.296703,0.910448,0.203125,0.404762,0.441176,0.0795455,0.147059,0.569444,0.230769,0.472973,
1.25,0.897959,0.16092,0.604651,0.233333,0.108108,0.26087,0.155172,0.16,0.121622,0.116667,0.0722892,0.967742,1,0.0128205,0.0973451,0.173333,0.375,0.32,0.357143,0.295455,0.960526,0.618182,0.296703,0.910448,0.203125,0.404762,0.441176,0.0795455,0.147059,0.555556,0.230769,0.459459,
1.3,0.897959,0.16092,0.604651,0.25,0.108108,0.26087,0.155172,0.16,0.121622,0.116667,0.0722892,0.951613,0.987952,0.025641,0.0973451,0.173333,0.395833,0.306667,0.357143,0.295455,0.960526,0.618182,0.296703,0.895522,0.203125,0.404762,0.441176,0.0795455,0.147059,0.541667,0.230769,0.459459,
1.35,0.897959,0.172414,0.581395,0.25,0.108108,0.26087,0.155172,0.16,0.121622,0.133333,0.0722892,0.951613,0.987952,0.025641,0.0973451,0.173333,0.416667,0.293333,0.357143,0.295455,0.960526,0.636364,0.296703,0.895522,0.203125,0.404762,0.426471,0.0795455,0.147059,0.527778,0.230769,0.459459,
1.4,0.897959,0.183908,0.55814,0.25,0.108108,0.26087,0.155172,0.16,0.121622,0.133333,0.0722892,0.967742,0.987952,0.025641,0.106195,0.173333,0.416667,0.293333,0.357143,0.295455,0.973684,0.654545,0.296703,0.910448,0.203125,0.404762,0.426471,0.0795455,0.147059,0.5,0.230769,0.432432,
1.45,0.857143,0.183908,0.55814,0.25,0.108108,0.26087,0.155172,0.16,0.121622,0.133333,0.0722892,0.967742,0.975904,0.025641,0.115044,0.173333,0.416667,0.293333,0.357143,0.295455,0.973684,0.672727,0.296703,0.925373,0.203125,0.404762,0.426471,0.0795455,0.147059,0.5,0.230769,0.432432,
1.5,0.877551,0.183908,0.534884,0.25,0.108108,0.275362,0.155172,0.16,0.121622,0.133333,0.0722892,0.967742,0.975904,0.025641,0.115044,0.173333,0.416667,0.28,0.357143,0.318182,1,0.672727,0.307692,0.925373,0.203125,0.404762,0.397059,0.0795455,0.147059,0.430556,0.230769,0.418919,
1.55,0.897959,0.183908,0.44186,0.25,0.108108,0.275362,0.155172,0.16,0.135135,0.133333,0.0722892,0.983871,0.987952,0.025641,0.115044,0.173333,0.416667,0.253333,0.428571,0.318182,1,0.654545,0.318681,0.925373,0.203125,0.357143,0.367647,0.0795455,0.161765,0.402778,0.230769,0.364865,
1.6,0.836735,0.195402,0.418605,0.25,0.108108,0.275362,0.155172,0.16,0.135135,0.133333,0.0722892,0.967742,0.975904,0.025641,0.115044,0.173333,0.479167,0.24,0.428571,0.318182,0.986842,0.672727,0.318681,0.955224,0.203125,0.333333,0.367647,0.0795455,0.161765,0.402778,0.230769,0.337838,
1.65,0.857143,0.195402,0.395349,0.25,0.108108,0.275362,0.155172,0.16,0.135135,0.133333,0.0722892,0.967742,0.975904,0.025641,0.115044,0.173333,0.479167,0.213333,0.428571,0.318182,0.986842,0.690909,0.32967,0.970149,0.203125,0.333333,0.367647,0.0795455,0.161765,0.347222,0.230769,0.337838,
1.7,0.857143,0.195402,0.395349,0.25,0.108108,0.275362,0.155172,0.173333,0.135135,0.133333,0.0722892,0.967742,0.963855,0.025641,0.115044,0.173333,0.479167,0.213333,0.428571,0.295455,0.986842,0.709091,0.340659,0.985075,0.203125,0.333333,0.352941,0.0795455,0.161765,0.347222,0.230769,0.337838,
1.75,0.857143,0.183908,0.372093,0.25,0.108108,0.289855,0.155172,0.173333,0.135135,0.133333,0.0722892,0.967742,0.951807,0.025641,0.115044,0.173333,0.479167,0.213333,0.428571,0.295455,0.986842,0.709091,0.340659,1,0.203125,0.333333,0.352941,0.0795455,0.161765,0.333333,0.25,0.324324,
1.8,0.836735,0.183908,0.372093,0.25,0.121622,0.289855,0.172414,0.173333,0.135135,0.133333,0.0722892,0.967742,0.939759,0.025641,0.115044,0.173333,0.479167,0.213333,0.428571,0.295455,0.986842,0.709091,0.340659,1,0.203125,0.333333,0.338235,0.0795455,0.161765,0.333333,0.25,0.324324,
1.85,0.836735,0.183908,0.372093,0.25,0.121622,0.289855,0.172414,0.173333,0.135135,0.133333,0.0722892,0.967742,0.927711,0.025641,0.115044,0.173333,0.520833,0.213333,0.428571,0.295455,1,0.709091,0.362637,0.985075,0.203125,0.333333,0.323529,0.0795455,0.161765,0.333333,0.25,0.324324,
1.9,0.836735,0.183908,0.348837,0.25,0.121622,0.289855,0.172414,0.173333,0.135135,0.133333,0.0722892,0.951613,0.939759,0.025641,0.115044,0.173333,0.541667,0.213333,0.428571,0.295455,1,0.709091,0.373626,0.985075,0.203125,0.309524,0.323529,0.0795455,0.161765,0.333333,0.25,0.324324,
1.95,0.816327,0.183908,0.348837,0.25,0.121622,0.289855,0.172414,0.173333,0.135135,0.133333,0.0722892,0.951613,0.927711,0.025641,0.115044,0.186667,0.541667,0.213333,0.428571,0.318182,0.986842,0.709091,0.384615,0.985075,0.203125,0.309524,0.323529,0.0795455,0.161765,0.319444,0.25,0.283784,
2,0.816327,0.183908,0.348837,0.25,0.121622,0.304348,0.172414,0.173333,0.135135,0.133333,0.0722892,0.967742,0.903614,0.025641,0.132743,0.186667,0.541667,0.213333,0.428571,0.340909,0.973684,0.727273,0.406593,0.985075,0.203125,0.309524,0.264706,0.0795455,0.176471,0.319444,0.25,0.256757,
2.05,0.714286,0.183908,0.255814,0.266667,0.121622,0.347826,0.189655,0.173333,0.148649,0.133333,0.0722892,0.854839,0.783133,0.025641,0.132743,0.253333,0.625,0.2,0.428571,0.340909,0.855263,0.763636,0.494505,0.925373,0.25,0.333333,0.235294,0.0909091,0.176471,0.263889,0.25,0.216216,
2.1,0.612245,0.183908,0.232558,0.3,0.121622,0.362319,0.189655,0.173333,0.148649,0.116667,0.0722892,0.790323,0.746988,0.025641,0.132743,0.24,0.625,0.186667,0.642857,0.363636,0.815789,0.781818,0.505495,0.910448,0.25,0.309524,0.205882,0.0909091,0.176471,0.222222,0.25,0.202703,
2.15,0.571429,0.183908,0.232558,0.3,0.121622,0.362319,0.189655,0.173333,0.148649,0.133333,0.0722892,0.774194,0.746988,0.025641,0.132743,0.24,0.625,0.186667,0.642857,0.363636,0.802632,0.8,0.505495,0.940298,0.25,0.285714,0.191176,0.0909091,0.176471,0.208333,0.269231,0.189189,
2.2,0.571429,0.183908,0.232558,0.3,0.121622,0.362319,0.189655,0.173333,0.148649,0.133333,0.0722892,0.774194,0.746988,0.025641,0.132743,0.24,0.625,0.186667,0.571429,0.363636,0.815789,0.836364,0.516484,0.940298,0.25,0.285714,0.176471,0.0909091,0.176471,0.194444,0.269231,0.189189,
2.25,0.571429,0.183908,0.232558,0.3,0.121622,0.362319,0.206897,0.173333,0.148649,0.133333,0.0843373,0.758065,0.73494,0.025641,0.132743,0.24,0.625,0.173333,0.5,0.363636,0.815789,0.872727,0.516484,0.940298,0.265625,0.285714,0.176471,0.0909091,0.176471,0.194444,0.269231,0.189189,
2.3,0.571429,0.183908,0.186047,0.3,0.121622,0.362319,0.206897,0.173333,0.148649,0.133333,0.0843373,0.725806,0.722892,0.025641,0.132743,0.24,0.625,0.173333,0.5,0.363636,0.776316,0.872727,0.527473,0.910448,0.265625,0.285714,0.176471,0.0909091,0.176471,0.194444,0.269231,0.189189,
2.35,0.55102,0.183908,0.186047,0.316667,0.121622,0.362319,0.206897,0.173333,0.148649,0.133333,0.0843373,0.725806,0.674699,0.025641,0.141593,0.24,0.666667,0.173333,0.571429,0.363636,0.75,0.854545,0.538462,0.925373,0.265625,0.285714,0.176471,0.0909091,0.176471,0.194444,0.269231,0.175676,
2.4,0.571429,0.183908,0.186047,0.316667,0.121622,0.376812,0.224138,0.186667,0.148649,0.133333,0.0843373,0.677419,0.662651,0.025641,0.141593,0.24,0.666667,0.173333,0.571429,0.363636,0.736842,0.854545,0.549451,0.925373,0.265625,0.261905,0.176471,0.0909091,0.176471,0.194444,0.269231,0.162162,
2.45,0.571429,0.183908,0.209302,0.316667,0.121622,0.376812,0.224138,0.186667,0.148649,0.133333,0.0843373,0.66129,0.674699,0.025641,0.141593,0.24,0.708333,0.173333,0.571429,0.363636,0.697368,0.872727,0.549451,0.925373,0.265625,0.261905,0.176471,0.0909091,0.176471,0.180556,0.307692,0.162162,
2.5,0.55102,0.195402,0.186047,0.316667,0.121622,0.405797,0.224138,0.186667,0.148649,0.15,0.0963855,0.645161,0.650602,0.025641,0.141593,0.266667,0.75,0.186667,0.571429,0.386364,0.684211,0.890909,0.549451,0.895522,0.265625,0.261905,0.161765,0.0909091,0.176471,0.166667,0.307692,0.135135,
2.55,0.55102,0.195402,0.162791,0.316667,0.121622,0.42029,0.224138,0.186667,0.148649,0.15,0.0963855,0.596774,0.626506,0.0128205,0.150442,0.266667,0.770833,0.186667,0.571429,0.386364,0.671053,0.927273,0.549451,0.835821,0.265625,0.261905,0.161765,0.0909091,0.176471,0.152778,0.326923,0.135135,
2.6,0.510204,0.195402,0.162791,0.316667,0.121622,0.42029,0.224138,0.186667,0.148649,0.166667,0.0963855,0.596774,0.614458,0.0128205,0.159292,0.266667,0.770833,0.186667,0.571429,0.386364,0.657895,0.945455,0.56044,0.835821,0.265625,0.261905,0.161765,0.0909091,0.176471,0.152778,0.326923,0.135135,
2.65,0.510204,0.195402,0.162791,0.316667,0.121622,0.42029,0.224138,0.186667,0.148649,0.166667,0.0963855,0.596774,0.590361,0.0128205,0.168142,0.28,0.770833,0.186667,0.571429,0.386364,0.657895,0.945455,0.582418,0.80597,0.265625,0.238095,0.147059,0.0795455,0.176471,0.138889,0.326923,0.121622,
2.7,0.510204,0.195402,0.162791,0.316667,0.121622,0.42029,0.224138,0.186667,0.148649,0.183333,0.0963855,0.580645,0.578313,0.0128205,0.168142,0.293333,0.770833,0.186667,0.571429,0.409091,0.657895,0.945455,0.582418,0.791045,0.265625,0.238095,0.161765,0.0795455,0.176471,0.138889,0.326923,0.121622,
2.75,0.510204,0.195402,0.162791,0.316667,0.121622,0.42029,0.224138,0.186667,0.148649,0.183333,0.0963855,0.580645,0.578313,0.0128205,0.176991,0.293333,0.770833,0.186667,0.642857,0.409091,0.657895,0.945455,0.593407,0.791045,0.296875,0.238095,0.161765,0.0795455,0.176471,0.138889,0.326923,0.121622,
2.8,0.510204,0.195402,0.162791,0.316667,0.121622,0.42029,0.224138,0.2,0.148649,0.183333,0.0963855,0.580645,0.60241,0.0128205,0.185841,0.306667,0.770833,0.186667,0.642857,0.409091,0.644737,0.945455,0.593407,0.791045,0.296875,0.238095,0.161765,0.0795455,0.176471,0.138889,0.326923,0.121622,
2.85,0.510204,0.206897,0.162791,0.316667,0.121622,0.434783,0.224138,0.2,0.148649,0.2,0.0963855,0.564516,0.60241,0.0128205,0.185841,0.306667,0.770833,0.186667,0.642857,0.409091,0.644737,0.963636,0.604396,0.791045,0.296875,0.238095,0.161765,0.0795455,0.176471,0.138889,0.326923,0.121622,
2.9,0.510204,0.206897,0.162791,0.333333,0.121622,0.434783,0.224138,0.2,0.148649,0.2,0.0963855,0.564516,0.578313,0.0128205,0.185841,0.306667,0.770833,0.186667,0.642857,0.409091,0.618421,0.963636,0.604396,0.80597,0.296875,0.238095,0.147059,0.0795455,0.176471,0.138889,0.326923,0.121622,
2.95,0.510204,0.206897,0.162791,0.333333,0.121622,0.434783,0.224138,0.2,0.148649,0.2,0.0963855,0.532258,0.578313,0.0128205,0.19469,0.306667,0.770833,0.186667,0.642857,0.409091,0.618421,0.963636,0.604396,0.820895,0.296875,0.238095,0.147059,0.0795455,0.176471,0.138889,0.326923,0.121622,
3,0.469388,0.206897,0.162791,0.333333,0.121622,0.449275,0.258621,0.213333,0.148649,0.2,0.108434,0.5,0.578313,0.0128205,0.238938,0.333333,0.791667,0.186667,0.714286,0.454545,0.592105,0.981818,0.615385,0.776119,0.296875,0.261905,0.132353,0.0795455,0.176471,0.125,0.326923,0.108108,
3.05,0.387755,0.218391,0.162791,0.383333,0.121622,0.507246,0.327586,0.213333,0.148649,0.2,0.108434,0.419355,0.481928,0.0128205,0.318584,0.426667,0.833333,0.186667,0.785714,0.545455,0.421053,0.963636,0.703297,0.626866,0.3125,0.285714,0.132353,0.0795455,0.176471,0.0972222,0.346154,0.0945946,
3.1,0.346939,0.218391,0.139535,0.4,0.121622,0.521739,0.362069,0.213333,0.148649,0.233333,0.108434,0.370968,0.409639,0.025641,0.353982,0.426667,0.875,0.173333,0.785714,0.568182,0.421053,0.981818,0.714286,0.58209,0.328125,0.285714,0.132353,0.0909091,0.176471,0.111111,0.346154,0.0945946,
3.15,0.346939,0.218391,0.139535,0.4,0.121622,0.536232,0.362069,0.213333,0.148649,0.233333,0.120482,0.354839,0.409639,0.025641,0.353982,0.426667,0.875,0.173333,0.785714,0.568182,0.421053,0.981818,0.725275,0.58209,0.34375,0.309524,0.132353,0.0909091,0.176471,0.0972222,0.346154,0.0945946,
3.2,0.346939,0.218391,0.139535,0.4,0.121622,0.550725,0.362069,0.213333,0.148649,0.233333,0.120482,0.354839,0.39759,0.025641,0.353982,0.44,0.895833,0.173333,0.785714,0.590909,0.407895,1,0.725275,0.58209,0.34375,0.309524,0.132353,0.0909091,0.176471,0.0972222,0.346154,0.0810811,
3.25,0.367347,0.218391,0.139535,0.4,0.121622,0.550725,0.362069,0.226667,0.148649,0.233333,0.120482,0.354839,0.39759,0.025641,0.362832,0.453333,0.895833,0.173333,0.785714,0.613636,0.394737,1,0.714286,0.552239,0.34375,0.285714,0.132353,0.0909091,0.176471,0.0972222,0.346154,0.0810811,
3.3,0.367347,0.218391,0.139535,0.4,0.121622,0.550725,0.362069,0.226667,0.148649,0.233333,0.120482,0.354839,0.409639,0.025641,0.371681,0.466667,0.895833,0.173333,0.785714,0.613636,0.368421,1,0.714286,0.58209,0.34375,0.285714,0.132353,0.0909091,0.176471,0.0972222,0.346154,0.0810811,
3.35,0.367347,0.218391,0.139535,0.4,0.121622,0.565217,0.37931,0.226667,0.148649,0.233333,0.120482,0.33871,0.409639,0.025641,0.380531,0.48,0.895833,0.173333,0.785714,0.590909,0.355263,1,0.725275,0.58209,0.359375,0.285714,0.132353,0.0909091,0.176471,0.0972222,0.346154,0.0810811,
3.4,0.367347,0.218391,0.139535,0.4,0.135135,0.565217,0.37931,0.226667,0.148649,0.233333,0.120482,0.33871,0.39759,0.025641,0.380531,0.493333,0.875,0.16,0.785714,0.590909,0.342105,0.981818,0.736264,0.58209,0.359375,0.285714,0.132353,0.0909091,0.176471,0.0972222,0.346154,0.0810811,
3.45,0.346939,0.218391,0.139535,0.4,0.135135,0.565217,0.37931,0.226667,0.148649,0.233333,0.120482,0.33871,0.385542,0.025641,0.415929,0.493333,0.875,0.173333,0.785714,0.590909,0.342105,1,0.725275,0.552239,0.359375,0.285714,0.161765,0.102273,0.176471,0.0972222,0.346154,0.0810811,
3.5,0.346939,0.218391,0.139535,0.4,0.135135,0.57971,0.413793,0.226667,0.148649,0.233333,0.13253,0.33871,0.349398,0.025641,0.424779,0.546667,0.875,0.173333,0.785714,0.590909,0.342105,0.981818,0.747253,0.507463,0.359375,0.285714,0.147059,0.102273,0.176471,0.0972222,0.346154,0.0810811,
3.55,0.346939,0.218391,0.139535,0.4,0.121622,0.608696,0.431034,0.213333,0.148649,0.233333,0.13253,0.322581,0.337349,0.025641,0.442478,0.6,0.854167,0.173333,0.857143,0.613636,0.328947,0.981818,0.791209,0.492537,0.359375,0.285714,0.132353,0.102273,0.176471,0.0972222,0.346154,0.0810811,
3.6,0.326531,0.218391,0.139535,0.4,0.135135,0.623188,0.431034,0.213333,0.148649,0.233333,0.13253,0.33871,0.325301,0.025641,0.486726,0.586667,0.854167,0.173333,0.928571,0.613636,0.328947,0.963636,0.813187,0.462687,0.359375,0.285714,0.132353,0.102273,0.191176,0.0833333,0.346154,0.0810811,
3.65,0.326531,0.218391,0.139535,0.4,0.135135,0.623188,0.431034,0.213333,0.148649,0.233333,0.13253,0.33871,0.325301,0.025641,0.504425,0.586667,0.833333,0.173333,0.928571,0.613636,0.328947,0.981818,0.824176,0.462687,0.359375,0.285714,0.132353,0.102273,0.205882,0.0833333,0.346154,0.0810811,
3.7,0.326531,0.218391,0.139535,0.4,0.135135,0.637681,0.431034,0.213333,0.148649,0.233333,0.144578,0.33871,0.325301,0.025641,0.513274,0.6,0.854167,0.173333,0.928571,0.613636,0.328947,0.963636,0.835165,0.462687,0.359375,0.285714,0.132353,0.102273,0.205882,0.0833333,0.346154,0.0810811,
3.75,0.346939,0.206897,0.139535,0.4,0.135135,0.637681,0.431034,0.213333,0.148649,0.233333,0.144578,0.33871,0.313253,0.025641,0.530973,0.613333,0.895833,0.173333,0.928571,0.613636,0.328947,0.945455,0.824176,0.447761,0.359375,0.285714,0.132353,0.102273,0.191176,0.0833333,0.384615,0.0810811,
3.8,0.346939,0.218391,0.139535,0.4,0.135135,0.652174,0.413793,0.213333,0.148649,0.25,0.144578,0.33871,0.313253,0.025641,0.548673,0.613333,0.895833,0.186667,0.928571,0.613636,0.315789,0.945455,0.835165,0.462687,0.359375,0.285714,0.132353,0.102273,0.191176,0.0833333,0.384615,0.0810811,
3.85,0.346939,0.218391,0.139535,0.4,0.135135,0.652174,0.413793,0.213333,0.162162,0.25,0.144578,0.33871,0.313253,0.025641,0.557522,0.613333,0.895833,0.186667,0.928571,0.613636,0.315789,0.945455,0.835165,0.462687,0.375,0.309524,0.132353,0.102273,0.205882,0.0833333,0.384615,0.0810811,
3.9,0.346939,0.218391,0.139535,0.4,0.135135,0.652174,0.413793,0.213333,0.175676,0.266667,0.144578,0.33871,0.313253,0.025641,0.59292,0.653333,0.895833,0.186667,0.928571,0.613636,0.315789,0.945455,0.846154,0.447761,0.359375,0.309524,0.132353,0.102273,0.205882,0.0972222,0.384615,0.0810811,
3.95,0.346939,0.218391,0.139535,0.4,0.121622,0.652174,0.413793,0.213333,0.175676,0.266667,0.144578,0.33871,0.313253,0.0384615,0.610619,0.68,0.916667,0.186667,0.928571,0.613636,0.315789,0.945455,0.857143,0.432836,0.359375,0.309524,0.132353,0.102273,0.205882,0.0972222,0.384615,0.0810811,
4,0.346939,0.218391,0.139535,0.4,0.121622,0.681159,0.413793,0.213333,0.189189,0.283333,0.144578,0.322581,0.313253,0.0384615,0.637168,0.733333,0.916667,0.186667,0.928571,0.613636,0.315789,0.927273,0.868132,0.41791,0.359375,0.309524,0.132353,0.102273,0.205882,0.0972222,0.423077,0.0810811,
