,A bit,A lot,A smidgen,Considerable amount,Extreme amount,Fair amount,Good amount,High amount,Huge amount,Humongous amount,Large,Little,Low amount,Maximum amount,Medium,Moderate amount,Modest amount,None to very little,Quite a bit,Sizeable,Small,Some,Some to moderate,Somewhat small,Substantial amount,Teeny-weeny,Tiny,Very high amount,Very large,Very little,Very sizeable,Very small,
C,1,8.30001,0.15,7.22501,9.95002,5.5,6.46667,9.00002,9.85002,9.95002,8.35001,0.85,1.2,9.90002,5.025,5.125,4.175,0.075,4.175,6.00001,1.7,3.31,4.7,1.775,7.62501,0.15,0.15,9.90002,9.95002,0.35,8.12501,0.2,
Sigma,2.324,1.95823,2.0583,1.98231,2.05745,1.62723,1.74327,2.19888,2.24351,2.38972,1.49622,2.31483,1.93432,0.907837,1.09813,1.3798,1.81635,2.19258,1.80752,1.95962,1.80021,1.93929,1.49706,1.83098,2.00667,3.07764,2.00546,1.73834,2.42824,1.79764,2.29374,1.6623,
0,0.755102,0.137931,0.767442,0.15,0.121622,0.231884,0.172414,0.146667,0.0810811,0.1,0.060241,0.645161,0.746988,0,0.0884956,0.133333,0.208333,0.986667,0.285714,0.204545,0.644737,0.290909,0.164835,0.41791,0.140625,0.857143,0.867647,0.0681818,0.102941,0.833333,0.192308,0.837838,
0.05,0.77551,0.137931,0.837209,0.15,0.121622,0.231884,0.172414,0.146667,0.0810811,0.1,0.060241,0.66129,0.759036,0,0.0884956,0.133333,0.208333,1,0.357143,0.227273,0.684211,0.290909,0.164835,0.41791,0.140625,0.904762,0.911765,0.0681818,0.102941,0.847222,0.192308,0.851351,
0.1,0.795918,0.137931,0.883721,0.15,0.121622,0.231884,0.172414,0.146667,0.0945946,0.1,0.060241,0.677419,0.759036,0,0.0884956,0.133333,0.208333,1,0.357143,0.227273,0.697368,0.309091,0.164835,0.41791,0.140625,0.97619,0.955882,0.0681818,0.102941,0.930556,0.192308,0.905405,
0.15,0.77551,0.149425,1,0.15,0.121622,0.231884,0.172414,0.146667,0.0945946,0.0833333,0.060241,0.693548,0.746988,0,0.0884956,0.133333,0.208333,0.946667,0.285714,0.227273,0.710526,0.345455,0.175824,0.447761,0.15625,1,1,0.0681818,0.102941,0.930556,0.192308,0.945946,
0.2,0.77551,0.149425,0.976744,0.15,0.108108,0.231884,0.172414,0.146667,0.0945946,0.0833333,0.060241,0.677419,0.795181,0,0.0884956,0.133333,0.208333,0.893333,0.285714,0.227273,0.75,0.363636,0.175824,0.462687,0.15625,0.928571,0.955882,0.0681818,0.117647,0.958333,0.192308,1,
0.25,0.734694,0.149425,0.976744,0.15,0.108108,0.231884,0.172414,0.146667,0.108108,0.0833333,0.060241,0.693548,0.807229,0,0.0884956,0.133333,0.208333,0.853333,0.285714,0.227273,0.776316,0.4,0.175824,0.477612,0.15625,0.880952,0.970588,0.0681818,0.117647,0.972222,0.173077,0.932432,
0.3,0.77551,0.149425,0.906977,0.15,0.108108,0.231884,0.172414,0.146667,0.108108,0.0833333,0.060241,0.774194,0.819277,0,0.0973451,0.133333,0.208333,0.813333,0.357143,0.227273,0.789474,0.4,0.175824,0.507463,0.15625,0.928571,0.955882,0.0681818,0.117647,0.986111,0.173077,0.905405,
0.35,0.77551,0.149425,0.953488,0.15,0.108108,0.231884,0.172414,0.146667,0.108108,0.0833333,0.060241,0.822581,0.819277,0,0.0973451,0.133333,0.208333,0.773333,0.357143,0.227273,0.789474,0.418182,0.175824,0.522388,0.15625,0.833333,0.897059,0.0681818,0.117647,1,0.173077,0.918919,
